E,S,T,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
409022,83046,490045,0,1.4777582883834839,0,False,526,5626,536,False,gaussian,0.4283307205517525,1.0,0.4283307205517525,False,False,True,sparse,0.5468467719983892,True,0.03865297599986661,False,6055,False,45222,0,1.0,0.6474412947890354,0.3240490169991972,False,ivf,320937984,1,run_00010.json,1,6493,0.7656587870005751,1.675207551998028,1,[]
369614,75827,428652,0,1.5621558342661177,0,False,749,6180,711,False,gaussian,0.42277644711948703,1.0,0.42277644711948703,False,False,True,sparse,0.5096402909985045,True,0.037977743999363156,False,6747,False,39095,0,1.0,0.6598127425558205,0.3616842550000001,False,ivf,308056064,2,run_00011.json,0,7188,0.8342499989994394,1.7435522889973072,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01740056200287654,True,0.040032493001490366,True,614,False,0,0,1.0,1.0,0.041526553002768196,True,ivf,186200064,0,run_00012.json,1,614,0.0882037390001642,0.1871633470072993,1,[]
409022,83046,490045,0,1.4777582883834839,0,False,526,5626,536,False,gaussian,0.4283307205517525,1.0,0.4283307205517525,False,False,True,inverted,0.6274782459986454,True,0.03751706700131763,False,6055,False,45222,0,1.0,0.6474412947890354,0.3321542429985129,False,ivf,350081024,1,run_00013.json,1,6493,0.7648243830008141,1.7619739389992901,1,[]
549782,111651,910113,0,0.1675530572732291,0,False,478,537,450131,False,mixture,0.9843304078176083,1.0,0.9843304078176083,False,False,True,sparse,0.7412434359976032,True,0.03860052399977576,False,6090,False,1221,0,1.0,0.9891824367425048,0.32717185799992876,False,ivf,370159616,0,run_00014.json,1,6107,0.7278664689983998,1.8348822869957075,1,[]
512146,104764,821494,0,0.16924587388833362,0,False,532,552,406387,False,mixture,0.9880579392517594,1.0,0.9880579392517594,False,False,True,inverted,0.8223437589986133,True,0.03838995099795284,False,6264,False,733,0,1.0,0.9930519351261173,0.3494322309998097,False,ivf,385978368,0,run_00015.json,0,6266,0.7438695620003273,1.9540355029967031,1,[]
358880,75908,414931,0,1.35086656610171,0,False,795,6280,747,False,gaussian,0.4272080889556567,1.0,0.4272080889556567,False,False,True,sparse,0.48307436799950665,True,0.03820165700017242,False,6868,False,38610,0,1.0,0.6628477619238897,0.36547778800013475,False,ivf,304939008,2,run_00016.json,2,7372,0.8429278549992887,1.7296816679991025,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017629083999054274,True,0.03799352799978806,True,614,False,0,0,1.0,1.0,0.04199253799743019,True,ivf,186200064,2,run_00017.json,1,614,0.08803004199944553,0.18564519199571805,1,[]
409022,83046,490045,0,1.4777582883834839,0,False,526,5626,536,False,gaussian,0.4283307205517525,1.0,0.4283307205517525,False,False,True,sparse,0.5431431179968058,True,0.03752167600032408,False,6055,False,45222,0,1.0,0.6474412947890354,0.3253517749981256,False,ivf,320688128,2,run_00018.json,1,6493,0.7833831960015232,1.6893997649967787,1,[]
512146,104764,821494,0,0.16924587388833362,0,False,532,552,406387,False,mixture,0.9880579392517594,1.0,0.9880579392517594,False,False,True,sparse,0.6829045270023926,True,0.03924949599968386,False,6264,False,733,0,1.0,0.9930519351261173,0.34007306000057724,False,ivf,357031936,0,run_00019.json,0,6266,0.7359823770020739,1.7982094600047276,1,[]
511244,110609,869502,0,0.20873522758483887,0,False,438,928,322647,False,mixture,0.9527415985374662,1.0,0.9527415985374662,False,False,True,inverted,0.8480021460018179,True,0.039454761001252336,False,5906,False,3525,0,1.0,0.9691152504950321,0.3248366200023156,False,ivf,385953792,0,run_00020.json,2,5927,0.7203220660012448,1.9326155930066307,1,[]
369614,75827,428652,0,1.5621558342661177,0,False,749,6180,711,False,gaussian,0.42277644711948703,1.0,0.42277644711948703,False,False,True,sparse,0.5186151839989179,True,0.03900986799999373,False,6747,False,39095,0,1.0,0.6598127425558205,0.3689679269991757,False,ivf,308109312,0,run_00021.json,0,7188,0.8373647980006353,1.7639577769987227,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.019864375000906875,True,0.03671989000213216,True,607,False,0,0,1.0,1.0,0.0429812900001707,True,ivf,186200064,0,run_00022.json,2,607,0.09126372300306684,0.19082927800627658,1,[]
